qid,occurrence,label,description,instance_of,uri
Q739,7,Colombia,country in South America,Q3624078,http://wikidata.org/entity/Q739
Q800,1,Costa Rica,country in Central America,Q3624078,http://wikidata.org/entity/Q800
Q736,2,Ecuador,sovereign state in South America,Q3624078,http://wikidata.org/entity/Q736
Q792,1,El Salvador,sovereign state in Central America,Q3624078,http://wikidata.org/entity/Q792
Q774,1,Guatemala,sovereign state in Central America,Q3624078,http://wikidata.org/entity/Q774
Q790,1,Haiti,country in the Caribbean Sea,Q3624078,http://wikidata.org/entity/Q790
Q783,1,Honduras,sovereign state in Central America,Q3624078,http://wikidata.org/entity/Q783
Q1014,1,Liberia,sovereign state in West Africa,Q7270,http://wikidata.org/entity/Q1014
Q811,1,Nicaragua,sovereign state in Central America,Q3624078,http://wikidata.org/entity/Q811
Q804,1,Panama,sovereign state in Central America,Q3624078,http://wikidata.org/entity/Q804
Q733,1,Paraguay,sovereign state in South America,Q7270,http://wikidata.org/entity/Q733
Q928,1,Philippines,archipelagic country in Southeast Asia,Q3624078,http://wikidata.org/entity/Q928
Q717,1,Venezuela,country in South America,Q3624078,http://wikidata.org/entity/Q717
Q166118,33,archives,agency or institution responsible for the preservation and communication of records selected for permanent preservation,,http://wikidata.org/entity/Q166118
Q414147,12,academy of sciences,national academy or another learned society dedicated to sciences,,http://wikidata.org/entity/Q414147
Q31855,12,research institute,organization whose primary purpose is research,Q17197366,http://wikidata.org/entity/Q31855
Q902104,14,private university,higher education institution not operated by a government,Q130388971,http://wikidata.org/entity/Q902104
Q15936437,14,research university,university committed to research as a central part of its mission,Q130388971,http://wikidata.org/entity/Q15936437
Q1188663,8,Colonial Colleges,nine institutions of higher education in the United States,,http://wikidata.org/entity/Q1188663
Q23002054,18,private not-for-profit educational institution,private educational institution,Q112872396,http://wikidata.org/entity/Q23002054
Q1453540,1,Massachusetts General Court,"legislature of Massachusetts, USA",Q3270264,http://wikidata.org/entity/Q1453540
Q32178211,23,music organization,type of organization linked with music,,http://wikidata.org/entity/Q32178211
Q11834910,9,state public library,type of library in Italy,,http://wikidata.org/entity/Q11834910
Q11422631,10,United Nations Depository Library,approved libraries that hold United Nations documents and publications,,http://wikidata.org/entity/Q11422631
Q24699794,6,museum building,building housing a museum,Q811102,http://wikidata.org/entity/Q24699794
Q53536964,15,royal palace,palace used by a royal family,,http://wikidata.org/entity/Q53536964
Q15848826,7,city palace,urban residence for the nobility,,http://wikidata.org/entity/Q15848826
Q2651004,9,Palazzo,"in Italian-speaking countries, the term for a building with large proportions",Q784969,http://wikidata.org/entity/Q2651004
Q1497375,19,architectural ensemble,"group of multiple related objects, such as buildings",Q12379553,http://wikidata.org/entity/Q1497375
Q19979289,3,birth house,"building where someone was deemed to be born, not a hospital. Add this in P31 in addition to properties about the architecture or function of the building. If it's the actual place of birth of the person, add the house in P19 of the person's item",Q811102,http://wikidata.org/entity/Q19979289
Q157031,9,foundation,type of nonprofit organization,Q2135465,http://wikidata.org/entity/Q157031
Q2087181,24,historic house museum,house that has been transformed into a museum,Q63982911,http://wikidata.org/entity/Q2087181
Q2085381,27,publishing house,organization that prints and distributes pressed goods or electronic media,Q17197366,http://wikidata.org/entity/Q2085381
Q6500733,3,printing company,company for printed products,,http://wikidata.org/entity/Q6500733
Q11755880,3,residential building,building mainly used for residential purposes,Q811102,http://wikidata.org/entity/Q11755880
Q2327632,3,city museum,"a museum that displays local history, art, or other collections",Q63982911,http://wikidata.org/entity/Q2327632
Q48204,16,voluntary association,group of people with shared interests or aims,Q2135465,http://wikidata.org/entity/Q48204
Q2061246,6,music library,library containing music-related materials for patron use,,http://wikidata.org/entity/Q2061246
Q53759838,4,music archive,archive of musical recordings and documents,,http://wikidata.org/entity/Q53759838
Q3950,4,villa,"house, generally of some pretension, and often including outbuildings and gardens",,http://wikidata.org/entity/Q3950
Q2977,59,cathedral,"Christian church, which is seat of a bishop",Q811102,http://wikidata.org/entity/Q2977
Q497893,2,literary society,Organization preserving and fostering literature,Q19610271,http://wikidata.org/entity/Q497893
Q16735822,22,history museum,museum covering the knowledge of human history,Q63982911,http://wikidata.org/entity/Q16735822
Q11396960,12,production company,company or studio that produces media,Q17197366,http://wikidata.org/entity/Q11396960
Q2326815,14,municipal library,public library operated by a city or municipality,Q25397890,http://wikidata.org/entity/Q2326815
Q2945282,4,documentation centre,organisation that deals with documentation,Q25397890,http://wikidata.org/entity/Q2945282
Q56242215,78,Catholic cathedral,church that is the seat of the bishop of a diocese of the Catholic Church,Q811102,http://wikidata.org/entity/Q56242215
Q20857065,2,United States federal agency,agency in the administrative division of the United States federal government,,http://wikidata.org/entity/Q20857065
Q221096,2,public–private partnership,government service or private business venture which is funded and operated through a partnership of government and one or more private sector companies,Q17197366,http://wikidata.org/entity/Q221096
Q446858,1,Andrew W. Mellon,"American diplomat, banker, businessman, industrialist, philanthropist, and art collector (1855–1937)",Q5,http://wikidata.org/entity/Q446858
Q11268,1,United States Congress,bicameral legislature of the United States,Q189445,http://wikidata.org/entity/Q11268
Q112258376,2,music society,association whose interest is music,Q988108,http://wikidata.org/entity/Q112258376
Q7328910,17,art collection,set of purposefully gathered artworks,,http://wikidata.org/entity/Q7328910
Q118130417,2,Shakespeariana,objects related to William Shakespeare,,http://wikidata.org/entity/Q118130417
Q856584,17,library building,building housing a library,Q811102,http://wikidata.org/entity/Q856584
Q5719487,2,Henry Clay Folger,"American Shakespeare collector, philanthropist, and co-founder of the Folger Shakespeare Library",Q5,http://wikidata.org/entity/Q5719487
Q16957,9,German Democratic Republic,"1949–1990 country in central Europe, unified into modern Germany",Q3024240,http://wikidata.org/entity/Q16957
Q327333,6,government agency,"organisational part of a government responsible for specific public services, such as health, judiciary, education, transportation, foreign affairs, etc",Q10541491,http://wikidata.org/entity/Q327333
Q56037,1,East Berlin,former Soviet sector of Berlin and capital of the GDR,Q1549591,http://wikidata.org/entity/Q56037
Q1655145,1,Nicolaihaus,house in Berlin,Q11755880,http://wikidata.org/entity/Q1655145
Q3182579,1,John Taylor Johnston,American businessman (1820–1893),Q5,http://wikidata.org/entity/Q3182579
Q7526834,1,"Sir George Beaumont, 7th Baronet",art patron and amateur painter (1753–1827),Q5,http://wikidata.org/entity/Q7526834
Q179351,13,City of Westminster,"city and borough in London, England, UK",Q211690,http://wikidata.org/entity/Q179351
Q2120466,2,pontifical university,university established or approved by the Roman Catholic Church,Q112872396,http://wikidata.org/entity/Q2120466
Q45400320,41,open-access publisher,publisher which gives free online access to all its articles,,http://wikidata.org/entity/Q45400320
Q2385804,22,educational institution,institution that provides education,Q104086571,http://wikidata.org/entity/Q2385804
Q557206,2,Catholic university,type of university affiliated with the Catholic Church,Q112872396,http://wikidata.org/entity/Q557206
Q11986619,2,lifestance organisation,organized group who share one view on life,,http://wikidata.org/entity/Q11986619
Q124830213,21,museum of a public entity,museum belonging to a public entity,Q63982911,http://wikidata.org/entity/Q124830213
Q3619199,1,Antonio Avena,Italian historian,Q5,http://wikidata.org/entity/Q3619199
Q4671277,8,academic institution,educational institution dedicated to education and research,Q117023459,http://wikidata.org/entity/Q4671277
Q15911314,13,association,group of individuals (natural persons) or entities (legal persons) of all kinds,Q10541491,http://wikidata.org/entity/Q15911314
Q751876,38,château,type of manor house mostly built by noble families for representative purposes,Q811102,http://wikidata.org/entity/Q751876
Q41176,9,building,"structure, typically enclosed with a roof and walls, standing more or less permanently in one place",,http://wikidata.org/entity/Q41176
Q3918,34,university,academic institution for further education,Q112872396,http://wikidata.org/entity/Q3918
Q991937,2,German Historical Institute,independent academic research institutes of the Max Weber Foundation,Q4671277,http://wikidata.org/entity/Q991937
Q153562,44,opera house,theatre building used for opera performances,,http://wikidata.org/entity/Q153562
Q62078547,19,public research university,type of higher learning institution; research university predominantly funded by public means,Q130388971,http://wikidata.org/entity/Q62078547
Q615150,2,land-grant university,institution of higher education in the United States designated by a state to receive the benefits of the Morrill Acts of 1862 and 1890,,http://wikidata.org/entity/Q615150
Q23002039,6,public educational institution of the United States,U.S. public educational institution,,http://wikidata.org/entity/Q23002039
Q3867560,15,Italian national museum,Wikimedia list article,Q13406463,http://wikidata.org/entity/Q3867560
Q108860593,11,museum of modern art,type of museum,Q63982911,http://wikidata.org/entity/Q108860593
Q121076356,10,Istituto museale ad autonomia speciale,,,http://wikidata.org/entity/Q121076356
Q740437,5,pinacotheca,public art gallery,Q63982911,http://wikidata.org/entity/Q740437
Q124830411,14,Museum of the Italian Ministry of Culture,,Q63982911,http://wikidata.org/entity/Q124830411
Q209465,5,campus,cluster of buildings and land used by an educational institution,,http://wikidata.org/entity/Q209465
Q1767829,24,comprehensive university,type of university where it is possible to study the most basic scientific disciplines,Q130388971,http://wikidata.org/entity/Q1767829
Q115427560,8,University of Excellence,University which is considered to be excellence according to the Excellence University Initiative,Q705657,http://wikidata.org/entity/Q115427560
Q875538,48,public university,university predominantly funded by public means,Q130388971,http://wikidata.org/entity/Q875538
Q63749,1,"Rupert I, Elector Palatine",Elector Palatine,Q5,http://wikidata.org/entity/Q63749
Q114053,1,Johann Kirchmann,German librarian and writer (1575-1643),Q5,http://wikidata.org/entity/Q114053
Q2642601,1,Alexander Lüneburg,German politician,Q5,http://wikidata.org/entity/Q2642601
Q1717544,1,Jürgen Pavels,politician (1568-1645),Q5,http://wikidata.org/entity/Q1717544
Q1323071,1,Georg Stampel,,Q5,http://wikidata.org/entity/Q1323071
Q160742,57,abbey,"monastery or convent, under the authority of an abbot or an abbess",,http://wikidata.org/entity/Q160742
Q304409,1,Leopold II,Margrave of Austria,Q5,http://wikidata.org/entity/Q304409
Q2683710,1,,,Q11204,http://wikidata.org/entity/Q2683710
Q124936,6,major basilica,title given to the four highest-ranking Catholic churches,Q3320743,http://wikidata.org/entity/Q124936
Q2713379,10,papal basilica,,,http://wikidata.org/entity/Q2713379
Q1492823,4,ecclesiastical district,Christian administrative territorial entity of any size or name,Q121144598,http://wikidata.org/entity/Q1492823
Q840482,4,shrine of Our Lady,typically Catholic shrines,Q811102,http://wikidata.org/entity/Q840482
Q167065,1,Sixtus III,Pope and bishop of Rome from 432 to 440,Q5,http://wikidata.org/entity/Q167065
Q1156831,2,umbrella organization,"organization that consists of several thematically, professionally, or regionally related sub-organizations",Q17197366,http://wikidata.org/entity/Q1156831
Q3152824,21,cultural institution,organization that works for the preservation or promotion of culture,Q117023459,http://wikidata.org/entity/Q3152824
Q7315155,2,research center,facility dedicated to research,Q134496690,http://wikidata.org/entity/Q7315155
Q43899662,1,Antonio Fanna,,Q5,http://wikidata.org/entity/Q43899662
Q3052382,2,fonds,"aggregation of records, documents, or works originating from the same creator",Q59211454,http://wikidata.org/entity/Q3052382
Q17105874,2,cultural history museum,type of museum,Q63982911,http://wikidata.org/entity/Q17105874
Q18233199,4,state museum,museum owned by a state organization,Q63982911,http://wikidata.org/entity/Q18233199
Q44530,1,Maximilian II of Bavaria,King of Bavaria between 1848 and 1864 (1811–1864),Q5,http://wikidata.org/entity/Q44530
Q2088357,47,musical ensemble,"group of people who perform instrumental and/or vocal music, with the ensemble typically known by a distinct name",Q17197366,http://wikidata.org/entity/Q2088357
Q2495568,6,universal library,library with universal collections,,http://wikidata.org/entity/Q2495568
Q1438040,13,research library,library that collects materials on one or more subjects to support scholarly or scientific research,Q25397890,http://wikidata.org/entity/Q1438040
Q1769139,4,reference library,collection of texts that can be consulted on site,Q25397890,http://wikidata.org/entity/Q1769139
Q1386438,12,state library of Germany,,,http://wikidata.org/entity/Q1386438
Q2577114,12,co-cathedral,type of church,,http://wikidata.org/entity/Q2577114
Q120560,75,minor basilica,title given to some Roman Catholic churches,Q3320743,http://wikidata.org/entity/Q120560
Q317557,32,parish church,church which acts as the religious centre of a parish,,http://wikidata.org/entity/Q317557
Q2742167,34,religious community,group of people who practice the same religious faith,Q121144515,http://wikidata.org/entity/Q2742167
Q817056,14,benedictine abbey,monastic community of monks of the Benedictine order,Q160742,http://wikidata.org/entity/Q817056
Q20057682,1,regional library,type of library,,http://wikidata.org/entity/Q20057682
Q166853,1,"Albert III, Duke of Austria",Duke of Austria,Q5,http://wikidata.org/entity/Q166853
Q55876909,6,Catholic parish church,church building that acts as the religious center of a Catholic parish,Q811102,http://wikidata.org/entity/Q55876909
Q1129743,8,filial church,church building that is not the main church of a parish,Q811102,http://wikidata.org/entity/Q1129743
Q56395672,2,Jesuit church,"church founded by the Society of Jesus, generally attached to a school",Q811102,http://wikidata.org/entity/Q56395672
Q1679899,2,,,,http://wikidata.org/entity/Q1679899
Q14623646,4,fictional organization,organization which only appears in works of fiction,Q133091164,http://wikidata.org/entity/Q14623646
Q641347,9,local Internet registry,"organization that has been allocated a block of IP addresses by a regional Internet registry, and assigns most parts of this block to its own customers",,http://wikidata.org/entity/Q641347
Q170072,51,Dutch Republic,predecessor state of the Netherlands (1581–1795),Q3624078,http://wikidata.org/entity/Q170072
Q1143635,2,business school,university-level institution granting degrees in business administration,Q112872396,http://wikidata.org/entity/Q1143635
Q334383,23,abbey church,"church of an abbey (monastery), seat of an abbot",,http://wikidata.org/entity/Q334383
Q2496382,2,university church,,,http://wikidata.org/entity/Q2496382
Q58911074,2,Denkmalfachbehörde,cultural heritage office on state level in Germany,,http://wikidata.org/entity/Q58911074
Q866133,7,university museum,museum run within a university,Q63982911,http://wikidata.org/entity/Q866133
Q570116,41,tourist attraction,place of interest where tourists visit,,http://wikidata.org/entity/Q570116
Q21713103,3,Cambridge,"district in Cambridgeshire, England",Q1187580,http://wikidata.org/entity/Q21713103
Q349086,1,Leopold III,Margrave of Austria,Q5,http://wikidata.org/entity/Q349086
Q5219006,1,Daniel Wadsworth,American artist and collector,Q5,http://wikidata.org/entity/Q5219006
Q3889692,15,college of music,Higher education institution for the study of music,,http://wikidata.org/entity/Q3889692
Q604177,6,municipal archive,accumulation of historical records of a town or city,Q636033,http://wikidata.org/entity/Q604177
Q28564,6,public library,"free community resource offering access to books, media, and information, promoting literacy and education for all ages",Q25397890,http://wikidata.org/entity/Q28564
Q11396180,2,library branch,"branch of a library organisation, e.g. in a city, town of village",Q25397890,http://wikidata.org/entity/Q11396180
Q15823107,2,Carmelite monastery,house or foundation of the Carmelite friars,,http://wikidata.org/entity/Q15823107
Q107591,1,Hans von und zu Aufseß,"German antiquarian (1801-1872), founder of the Germanisches Nationalmuseum, Nuremberg, Germany",Q5,http://wikidata.org/entity/Q107591
Q32798322,2,,type of quango in the Netherlands,,http://wikidata.org/entity/Q32798322
Q1966910,7,national academy,"organizational body, usually operating with state financial support and approval, that co-ordinates scholarly research activities and standards for academic disciplines, most frequently in the sciences but also the humanities",,http://wikidata.org/entity/Q1966910
Q96888669,10,academic publisher,publisher whose works are primarily produced and consumed by academics,,http://wikidata.org/entity/Q96888669
Q7729,2,Louis Bonaparte,"king of Holland, brother of Napoleon Bonaparte, member of the House of Buonaparte (1778-1846)",Q5,http://wikidata.org/entity/Q7729
Q38723,14,higher education institution,"institution that provides higher education (e.g., universities, vocational universities, community colleges, liberal arts colleges, institutes of technology, and others)",Q112872396,http://wikidata.org/entity/Q38723
Q1406569,2,leper colony,place to quarantine people with leprosy,,http://wikidata.org/entity/Q1406569
Q2288140,2,Federal Scientific Institute,denotes Belgian scientific and cultural organisations,,http://wikidata.org/entity/Q2288140
Q1789476,3,bibliographic database,database providing an authoritative source of bibliographic information,,http://wikidata.org/entity/Q1789476
Q71084,1,First French Empire,"empire of Napoleon I of France, from 1804 to 1815",Q3024240,http://wikidata.org/entity/Q71084
Q15864,1,United Kingdom of the Netherlands,Kingdom of the Netherlands from 1815 to 1839,Q3024240,http://wikidata.org/entity/Q15864
Q16147981,6,royal chapel,"chapel associated with a monarch, a royal court, or in a royal palace",,http://wikidata.org/entity/Q16147981
Q18654830,2,palatine chapel,chapel pertaining to a palace,,http://wikidata.org/entity/Q18654830
Q243122,2,Ferdinand III of Castille,"13th-century saint and king of Castile, Leon and Galicia",Q5,http://wikidata.org/entity/Q243122
Q56242063,8,Protestant church building,church building affiliated with a protestant denomination,Q811102,http://wikidata.org/entity/Q56242063
Q29999,275,Kingdom of the Netherlands,transcontinental sovereign state and constitutional monarchy,Q3624078,http://wikidata.org/entity/Q29999
Q15304003,2,country of the Kingdom of the Netherlands,constituent country of the Kingdom of the Netherlands,,http://wikidata.org/entity/Q15304003
Q6256,8,country,distinct territorial body or political entity,Q15617994,http://wikidata.org/entity/Q6256
Q117531692,2,creative residency,cultural venue promoting residency programmes,Q151885,http://wikidata.org/entity/Q117531692
Q271676,2,Charles Le Brun,17th-century French painter and art theorist (1619—1690),Q5,http://wikidata.org/entity/Q271676
Q1015103,2,castle chapel,chapel built within a castle,,http://wikidata.org/entity/Q1015103
Q2772772,3,military museum,museum of military and war,Q63982911,http://wikidata.org/entity/Q2772772
Q614316,7,private museum,a museum owned by an individual or organization,Q63982911,http://wikidata.org/entity/Q614316
Q3914,6,school,institution for the education of students by teachers,Q122754124,http://wikidata.org/entity/Q3914
Q2348743,2,Stiftsgymnasium,gymnasium supportet/operated by a foundation,,http://wikidata.org/entity/Q2348743
Q28653,6,mendicant order,Type of religious lifestyle,Q23847174,http://wikidata.org/entity/Q28653
Q315640,1,Francisco,"Italian mendicant friar, founder of the Order of Minims",Q5,http://wikidata.org/entity/Q315640
Q98807406,2,oratory,church belonging to a community within the Congregation of the Oratory of Saint Philip Neri,Q811102,http://wikidata.org/entity/Q98807406
Q375307,3,Ferenc Széchényi,Hungarian philanthropist (1754–1820),Q5,http://wikidata.org/entity/Q375307
Q3624078,6,sovereign state,state that has the highest authority over a territory,,http://wikidata.org/entity/Q3624078
Q20181813,6,colonial power,country that controls colonies,,http://wikidata.org/entity/Q20181813
Q51576574,6,Mediterranean country,country located near the Mediterranean Sea,,http://wikidata.org/entity/Q51576574
Q7270,6,republic,form of government where the head of state is elected,Q183039,http://wikidata.org/entity/Q7270
Q730706,2,London Borough of Southwark,borough in the London Region in England,Q211690,http://wikidata.org/entity/Q730706
Q132296770,2,Roman Catholic monastery,monastery held by Roman Catholic monks,Q811102,http://wikidata.org/entity/Q132296770
Q907116,14,Monument (Spain),Spanish heritage structures of cultural interest and legal figure of protection for this kind of heritage. Subcategory of BIC,Q30634609,http://wikidata.org/entity/Q907116
Q20819922,14,opera company,group or organization that produces and stages operas,Q105756498,http://wikidata.org/entity/Q20819922
Q1666235,1,Johann I. von Egloffstein,,Q5,http://wikidata.org/entity/Q1666235
Q59181052,1,Ugo Levi,Member of the Venetian jewish upper middle class of the 20th century.,Q5,http://wikidata.org/entity/Q59181052
Q59644055,1,Olga Brunner,Middle class Venetian jewish of the XX Century,Q5,http://wikidata.org/entity/Q59644055
Q2822241,4,academy of fine arts,academy specializing in fine arts,,http://wikidata.org/entity/Q2822241
Q321520,1,Peter Strudel,Austrian artist (1660-1714),Q5,http://wikidata.org/entity/Q321520
Q811979,15,architectural structure,human-designed and -made structure,Q111972893,http://wikidata.org/entity/Q811979
Q1763828,2,multi-purpose hall,"building usable for various events (sports, culture, etc.)",,http://wikidata.org/entity/Q1763828
Q135456436,2,musical society,organizations formed for the promotion or performance of music,,http://wikidata.org/entity/Q135456436
Q2079957,5,William I of the Netherlands,King of the Netherlands and Grand Duke of Luxembourg 1815–1840 (1772-1843),Q5,http://wikidata.org/entity/Q2079957
Q105763925,13,conservation library,type of library,Q25397890,http://wikidata.org/entity/Q105763925
Q380829,4,private library,library held by individual(s) or private organisations for members only,Q25397890,http://wikidata.org/entity/Q380829
Q4989906,17,monument,"imposing structure created to commemorate a person or event, or used for that purpose",,http://wikidata.org/entity/Q4989906
Q3645846,1,Bruno Molajoli,Italian art historian (1905-1985),Q5,http://wikidata.org/entity/Q3645846
Q868557,16,music festival,festival oriented towards music,Q108680062,http://wikidata.org/entity/Q868557
Q112572558,2,Departments of the Roman Curia,department,Q118905629,http://wikidata.org/entity/Q112572558
Q4002648,4,office of the Roman Curia,three specific departments of the Roman Curia,Q118905629,http://wikidata.org/entity/Q4002648
Q15487029,4,patriarchal basilica,,,http://wikidata.org/entity/Q15487029
Q162090,1,Miltiades,pope,Q5,http://wikidata.org/entity/Q162090
Q15893266,1,former entity,entity that no longer operates or is terminated,Q86098365,http://wikidata.org/entity/Q15893266
Q210588,3,umbrella term,term that brings a broad range of disparate cases under a single headword,Q137426749,http://wikidata.org/entity/Q210588
Q2061186,2,religious order,subgroup within a larger confessional community with a distinctive high-religiosity lifestyle and clear membership,,http://wikidata.org/entity/Q2061186
Q391009,4,Catholic order,catholic religious community living under solemn vows,Q1530022,http://wikidata.org/entity/Q391009
Q676555,2,Francis of Assisi,"Italian Catholic saint, friar, deacon and preacher and founder of the Franciscan Order (1181/2–1226)",Q5,http://wikidata.org/entity/Q676555
Q3167873,1,Jean-Marie de Silguy,French engineer and art collector (1785-1864),Q5,http://wikidata.org/entity/Q3167873
Q1030034,3,GLAM,"acronym for ""galleries, libraries, archives, and museums"" that refers to cultural institutions that have access to knowledge as their mission",Q3958441,http://wikidata.org/entity/Q1030034
Q18123390,2,exhibition area,area of a museum open to visitors,,http://wikidata.org/entity/Q18123390
Q708676,13,charitable organization,nonprofit organization with charitable purpose,Q10541491,http://wikidata.org/entity/Q708676
Q4287745,4,medical organization,organization which supports the field of medicine,,http://wikidata.org/entity/Q4287745
Q3329412,11,archaeological museum,museum specializing in archaeological artefacts,Q63982911,http://wikidata.org/entity/Q3329412
Q2668072,11,collection,set of purposely gathered physical or digital objects with some common characteristics,Q1128340,http://wikidata.org/entity/Q2668072
Q1254933,2,astronomical observatory,location used for observing celestial events,,http://wikidata.org/entity/Q1254933
Q879146,6,Christian denomination,identifiable Christian body with common characteristics,,http://wikidata.org/entity/Q879146
Q29300714,2,international association,association at international level,,http://wikidata.org/entity/Q29300714
Q829080,7,professional association,mission-driven organization seeking to further a particular profession,Q17197366,http://wikidata.org/entity/Q829080
Q856564,2,library association,organization of libraries for a common goal,,http://wikidata.org/entity/Q856564
